source	target	depth
independent-spike coding	sparse distributed memory	4
independent-spike coding	vector quantization	4
independent-spike coding	representational drift	4
correlation coding	artificial neural network	4
correlation coding	autoencoder	4
correlation coding	biological neuron model	4
correlation coding	binding problem	4
correlation coding	cognitive map	4
correlation coding	deep learning	4
correlation coding	feature integration theory	4
correlation coding	grandmother cell	4
correlation coding	models of neural computation	4
correlation coding	neural correlate	4
correlation coding	neural decoding	4
correlation coding	neural oscillation	4
correlation coding	receptive field	4
correlation coding	sparse distributed memory	4
correlation coding	vector quantization	4
correlation coding	representational drift	4
bursting	action potential	4
bursting	central pattern generator	4
bursting	dynamical systems	4
bursting	information theory	4
brain-reading	bayesian approaches to brain function	4
brain-reading	cyberware	4
brain-reading	mind uploading	4
brain-reading	minority report (film)	4
brain-reading	neural decoding	4
brain-reading	neuroinformatics	4
brain-reading	thoughtcrime	4
brain-reading	thought recording and reproduction device	4
neurocybernetics	bioinformatics	4
neurocybernetics	biosemiotics	4
neurocybernetics	computational biology	4
neurocybernetics	computational biomodeling	4
neurocybernetics	medical cybernetics	4
eeg analysis	spectral density	4
eeg analysis	fourier transform	4
eeg analysis	wavelet transform	4
eeg analysis	hilbert–huang transform	4
eeg analysis	dynamical system	4
eeg analysis	chaos theory	4
eeg analysis	artificial neural network	4
eeg analysis	deep learning	4
eeg analysis	convolutional neural network	4
eeg analysis	recurrent neural network	4
eeg analysis	machine learning	4
eeg analysis	artificial intelligence	4
eeg analysis	epilepsy	4
eeg analysis	alzheimer's disease	4
eeg analysis	tremor	4
eeg analysis	epileptic seizure	4
dynamical systems theory	baker's map	4
dynamical systems theory	biological applications of bifurcation theory	4
dynamical systems theory	dynamical system (definition)	4
dynamical systems theory	embodied embedded cognition	4
dynamical systems theory	fibonacci numbers	4
dynamical systems theory	fractals	4
dynamical systems theory	gingerbreadman map	4
dynamical systems theory	halo orbit	4
dynamical systems theory	oscillation	4
dynamical systems theory	postcognitivism	4
dynamical systems theory	recurrent neural network	4
dynamical systems theory	combinatorics and dynamical systems	4
dynamical systems theory	synergetics (haken)	4
dynamical systems theory	systemography	4
dynamical systems theory	people in systems and control	4
dynamical systems theory	dmitri anosov	4
dynamical systems theory	vladimir arnold	4
dynamical systems theory	nikolay bogolyubov	4
dynamical systems theory	andrey kolmogorov	4
dynamical systems theory	nikolay mitrofanovich krylov	4
dynamical systems theory	jürgen moser	4
dynamical systems theory	yakov g. sinai	4
dynamical systems theory	stephen smale	4
dynamical systems theory	hillel furstenberg	4
dynamical systems theory	grigory margulis	4
dynamical systems theory	elon lindenstrauss	4
cybernetics	automation	4
cybernetics	artificial intelligence	4
cybernetics	autonomous agency theory	4
cybernetics	complex systems	4
cybernetics	gaia hypothesis	4
cybernetics	the human use of human beings	4
cybernetics	industrial ecology	4
cybernetics	principia cybernetica	4
cybernetics	superorganism	4
cybernetics	synergetics (haken)	4
cybernetics	tektology	4
cybernetics	viable system theory	4
convolutional neural network	attention (machine learning)	4
convolutional neural network	convolution	4
convolutional neural network	deep learning	4
convolutional neural network	natural-language processing	4
convolutional neural network	neocognitron	4
convolutional neural network	scale-invariant feature transform	4
convolutional neural network	time delay neural network	4
convolutional neural network	vision processing unit	4
edge detection	edge-preserving filtering	4
edge detection	feature detection (computer vision)	4
edge detection	image derivative	4
edge detection	gabor filter	4
edge detection	image noise reduction	4
edge detection	kirsch operator	4
edge detection	ridge detection	4
edge detection	log gabor filter	4
edge detection	phase stretch transform	4
edge detection	convolution	4
computer vision	chessboard detection	4
computer vision	computational imaging	4
computer vision	computational photography	4
computer vision	computer audition	4
computer vision	egocentric vision	4
computer vision	machine vision glossary	4
computer vision	space mapping	4
computer vision	teknomo–fernandez algorithm	4
computer vision	vision science	4
computer vision	visual agnosia	4
computer vision	visual perception	4
computer vision	visual system	4
visual system	achromatopsia	4
visual system	akinetopsia	4
visual system	apperceptive agnosia	4
visual system	associative visual agnosia	4
visual system	asthenopia	4
visual system	astigmatism (eye)	4
visual system	color blindness	4
visual system	human echolocation	4
visual system	computer vision	4
visual system	helmholtz–kohlrausch effect	4
visual system	color balance	4
visual system	magnocellular cell	4
visual system	memory-prediction framework	4
visual system	prosopagnosia	4
visual system	scotopic sensitivity syndrome	4
visual system	recovery from blindness	4
visual system	visual agnosia	4
visual system	visual modularity	4
visual system	visual perception	4
visual system	visual processing	4
feature integration theory	binding problem	3
feature integration theory	visual search	3
symbol grounding	binding problem	4
symbol grounding	categorical perception	4
symbol grounding	communicative action	4
symbol grounding	consciousness	4
symbol grounding	formal language	4
symbol grounding	formal system	4
symbol grounding	frame problem	4
symbol grounding	hermeneutics	4
symbol grounding	natural-language understanding	4
symbol grounding	semantics	4
symbol grounding	physical symbol system	4
symbol grounding	pragmatics	4
symbol grounding	semiosis	4
symbol grounding	semiotics	4
symbol grounding	sign	4
symbol grounding	sign relation	4
symbol grounding	situated cognition	4
symbol grounding	syntax	4
symbol grounding	turing machine	4
vertiginous question	centered world	4
vertiginous question	further facts	4
vertiginous question	indexicality	4
vertiginous question	problem of mental causation	4
vertiginous question	subjective idealism	4
vertiginous question	subjectivism	4
vertiginous question	subjectivity and objectivity (philosophy)	4
vertiginous question	type–token distinction	4
synesthesia	allochiria	4
synesthesia	apophenia	4
synesthesia	asmr	4
synesthesia	exceptional memory	4
synesthesia	fantasy prone personality	4
synesthesia	hallucination	4
synesthesia	ideasthesia	4
synesthesia	ideophone	4
synesthesia	vibration theory of olfaction	4
synesthesia	parosmia	4
synesthesia	psychedelic drug	4
synesthesia	sensory substitution	4
synesthesia	thought-forms (book)	4
synesthesia	visual music	4
synesthesia	the yellow sound	4
synesthesia	mccollough effect	4
synesthesia	richard cytowic	4
problem of mental causation	cognitive ethology	4
problem of mental causation	computational theory of mind	4
problem of mental causation	intelligent design	4
problem of mental causation	mind-body dualism	4
problem of mental causation	mind–body problem	4
problem of mental causation	model-dependent realism	4
problem of mental causation	neural correlates of consciousness	4
problem of mental causation	noumenon	4
problem of mental causation	philosophy of mind	4
problem of mental causation	physical determinism	4
problem of mental causation	simulated reality	4
problem of mental causation	vertiginous question	4
philosophy of perception	anil gupta (philosopher)	4
philosophy of perception	argument from illusion	4
philosophy of perception	arthur schopenhauer	4
philosophy of perception	āyatana	4
philosophy of perception	binding problem	4
philosophy of perception	consciousness	4
philosophy of perception	direct realism	4
philosophy of perception	epistemology	4
philosophy of perception	george berkeley	4
philosophy of perception	hallucinations in the sane	4
philosophy of perception	immanuel kant	4
philosophy of perception	idealism	4
philosophy of perception	indirect realism	4
philosophy of perception	john mcdowell	4
philosophy of perception	fiona macpherson	4
philosophy of perception	map-territory relation	4
philosophy of perception	maurice merleau-ponty	4
philosophy of perception	mind's eye	4
philosophy of perception	multistable perception	4
philosophy of perception	open individualism	4
philosophy of perception	charles sanders peirce	4
philosophy of perception	perceptual conceptualism	4
philosophy of perception	philosophical realism	4
philosophy of perception	roderick chisholm	4
philosophy of perception	sensorium	4
philosophy of perception	solipsism	4
philosophy of perception	subjective character of experience	4
philosophy of perception	susanna schellenberg	4
philosophy of perception	susanna siegel	4
philosophy of perception	theories of perception	4
philosophy of perception	thomas reid	4
philosophy of perception	transcendental idealism	4
philosophy of perception	vertiginous question	4
philosophy of perception	visual perception	4
philosophy of perception	visual space	4
frame problem	binding problem	4
frame problem	common sense	4
frame problem	commonsense reasoning	4
frame problem	defeasible reasoning	4
frame problem	linear logic	4
frame problem	separation logic	4
frame problem	non-monotonic logic	4
frame problem	qualification problem	4
frame problem	ramification problem	4
frame problem	symbol grounding	4
frame problem	yale shooting problem	4
artificial intelligence	organoid intelligence	4
artificial intelligence	owain owain	4
artificial intelligence	artificial consciousness	4
artificial intelligence	artificial intelligence and elections	4
artificial intelligence	artificial intelligence content detection	4
artificial intelligence	behavior selection algorithm	4
artificial intelligence	business process automation	4
artificial intelligence	case-based reasoning	4
artificial intelligence	computational intelligence	4
artificial intelligence	digital immortality	4
artificial intelligence	emergent algorithm	4
artificial intelligence	female gendering of ai technologies	4
artificial intelligence	glossary of artificial intelligence	4
artificial intelligence	intelligence amplification	4
artificial intelligence	intelligent agent	4
artificial intelligence	mind uploading	4
artificial intelligence	robotic process automation	4
artificial intelligence	the last day (novel)	4
artificial intelligence	wetware computer	4
biological neuron model	binding neuron	3
biological neuron model	bayesian approaches to brain function	3
biological neuron model	brain–computer interface	3
biological neuron model	free energy principle	3
biological neuron model	models of neural computation	3
biological neuron model	neural coding	3
biological neuron model	neural oscillation	3
biological neuron model	quantitative models of the action potential	3
biological neuron model	spiking neural network	3
artificial neural network	adaline	3
artificial neural network	autoencoder	3
artificial neural network	bio-inspired computing	3
artificial neural network	blue brain project	3
artificial neural network	catastrophic interference	3
artificial neural network	cognitive architecture	3
artificial neural network	connectionist expert system	3
artificial neural network	connectomics	3
artificial neural network	deep image prior	3
artificial neural network	digital morphogenesis	3
artificial neural network	efficiently updatable neural network	3
artificial neural network	evolutionary algorithm	3
artificial neural network	family of curves	3
artificial neural network	genetic algorithm	3
artificial neural network	hyperdimensional computing	3
artificial neural network	in situ adaptive tabulation	3
artificial neural network	large width limits of neural networks	3
artificial neural network	memristor	3
artificial neural network	neural gas	3
artificial neural network	neural network software	3
artificial neural network	optical neural network	3
artificial neural network	parallel distributed processing	3
artificial neural network	philosophy of artificial intelligence	3
artificial neural network	predictive analytics	3
artificial neural network	quantum neural network	3
artificial neural network	support vector machine	3
artificial neural network	spiking neural network	3
artificial neural network	stochastic parrot	3
artificial neural network	tensor product network	3
artificial neural network	topological deep learning	3
differentiable function	generalizations of the derivative	3
differentiable function	semi-differentiability	3
differentiable function	differentiable programming	3
machine learning	deep learning	3
machine learning	artificial neural network	3
machine learning	m-theory (learning framework)	3
machine learning	machine unlearning	3
machine learning	automated machine learning	3
machine learning	big data	3
machine learning	differentiable programming	3
machine learning	solomonoff's theory of inductive inference	3
sparse dictionary learning	sparse approximation	4
sparse dictionary learning	sparse pca	4
sparse dictionary learning	k-svd	4
sparse dictionary learning	matrix factorization	4
sparse dictionary learning	sparse coding	4
representation learning	automated machine learning	4
representation learning	deep learning	4
representation learning	geometric feature learning	4
representation learning	feature detection (computer vision)	4
representation learning	feature extraction	4
representation learning	word embedding	4
representation learning	vector quantization	4
representation learning	variational autoencoder	4
generalizations of the derivative	arithmetic derivative	4
generalizations of the derivative	automatic differentiation	4
generalizations of the derivative	brzozowski derivative	4
generalizations of the derivative	dini derivative	4
generalizations of the derivative	fractal derivative	4
generalizations of the derivative	hasse derivative	4
generalizations of the derivative	logarithmic derivative	4
generalizations of the derivative	logarithmic differentiation	4
generalizations of the derivative	non-classical analysis	4
generalizations of the derivative	numerical differentiation	4
generalizations of the derivative	pincherle derivative	4
generalizations of the derivative	q-derivative	4
generalizations of the derivative	semi-differentiability	4
generalizations of the derivative	symmetric derivative	4
generalizations of the derivative	topological derivative	4
semi-differentiability	derivative	4
semi-differentiability	directional derivative	4
semi-differentiability	partial derivative	4
semi-differentiability	gradient	4
semi-differentiability	gateaux derivative	4
semi-differentiability	fréchet derivative	4
semi-differentiability	derivative (generalizations)	4
semi-differentiability	dini derivative	4
semi-differentiability	phase space formulation	4
solomonoff's theory of inductive inference	algorithmic information theory	4
solomonoff's theory of inductive inference	bayesian inference	4
solomonoff's theory of inductive inference	inductive inference	4
solomonoff's theory of inductive inference	inductive probability	4
solomonoff's theory of inductive inference	mill's methods	4
solomonoff's theory of inductive inference	minimum description length	4
solomonoff's theory of inductive inference	minimum message length	4
solomonoff's theory of inductive inference	problem of induction	4
solomonoff's theory of inductive inference	new riddle of induction	4
big data	big data ethics	4
big data	big data maturity model	4
big data	big memory	4
big data	data curation	4
big data	data defined storage	4
big data	data engineering	4
big data	data lineage	4
big data	data philanthropy	4
big data	data science	4
big data	datafication	4
big data	document-oriented database	4
big data	very large database	4
big data	topological data analysis	4
big data	xldb	4
automated machine learning	artificial intelligence	4
automated machine learning	artificial intelligence and elections	4
automated machine learning	neural architecture search	4
automated machine learning	neuroevolution	4
automated machine learning	self-tuning	4
automated machine learning	neural network intelligence	4
automated machine learning	modelops	4
automated machine learning	hyperparameter optimization	4
free energy principle	adrian bejan	4
free energy principle	action-specific perception	4
free energy principle	affordance	4
free energy principle	autopoiesis	4
free energy principle	bayesian approaches to brain function	4
free energy principle	decision theory	4
free energy principle	embodied cognition	4
free energy principle	entropic force	4
free energy principle	principle of minimum energy	4
free energy principle	info-metrics	4
free energy principle	optimal control	4
free energy principle	adaptive system	4
free energy principle	predictive coding	4
free energy principle	self-organization	4
free energy principle	surprisal	4
free energy principle	synergetics (haken)	4
free energy principle	variational bayesian methods	4
bayesian approaches to brain function	bayesian cognitive science	4
bayesian approaches to brain function	cognitive architecture	4
bayesian approaches to brain function	computational neuroscience	4
bayesian approaches to brain function	free energy principle	4
bayesian approaches to brain function	quantum cognition	4
bayesian approaches to brain function	two-alternative forced choice	4
brain–computer interface	alterego	4
brain–computer interface	augmented learning	4
brain–computer interface	brainco	4
brain–computer interface	cortical implants	4
brain–computer interface	deep brain stimulation	4
brain–computer interface	experience machine	4
brain–computer interface	intendix	4
brain–computer interface	kernel (neurotechnology company)	4
brain–computer interface	neural engineering	4
brain–computer interface	neurorobotics	4
brain–computer interface	neurostimulation	4
brain–computer interface	nootropic	4
brain–computer interface	paradromics	4
brain–computer interface	precision neuroscience	4
brain–computer interface	project cyborg	4
brain–computer interface	simulated reality	4
brain–computer interface	stent-electrode recording array	4
brain–computer interface	thought identification	4
brain–computer interface	wetware computer	4
brain–computer interface	whole brain emulation	4
brain–computer interface	wirehead (science fiction)	4
sparse approximation	compressed sensing	3
sparse approximation	sparse dictionary learning	3
sparse approximation	k-svd	3
sparse approximation	lasso (statistics)	3
sparse approximation	regularization (mathematics)	3
sparse approximation	inverse problems	3
turbo code	bcjr algorithm	4
turbo code	convolutional code	4
turbo code	forward error correction	4
turbo code	interleaver	4
turbo code	low-density parity-check code	4
turbo code	serial concatenated convolutional codes	4
turbo code	soft-decision decoding	4
turbo code	turbo equalizer	4
turbo code	viterbi algorithm	4
binary erasure channel	erasure code	4
binary erasure channel	packet erasure channel	4
tornado code	erasure code	4
tornado code	raptor code	4
serial concatenated convolutional codes	convolutional code	4
serial concatenated convolutional codes	viterbi algorithm	4
serial concatenated convolutional codes	soft-decision decoding	4
serial concatenated convolutional codes	interleaver	4
serial concatenated convolutional codes	bcjr algorithm	4
serial concatenated convolutional codes	low-density parity-check code	4
serial concatenated convolutional codes	repeat-accumulate code	4
serial concatenated convolutional codes	turbo equalizer	4
inverse problems	atmospheric inverse problem	4
inverse problems	backus–gilbert method	4
inverse problems	computed tomography	4
inverse problems	algebraic reconstruction technique	4
inverse problems	filtered backprojection	4
inverse problems	iterative reconstruction	4
inverse problems	data assimilation	4
inverse problems	engineering optimization	4
inverse problems	grey box model	4
inverse problems	mathematical geophysics	4
inverse problems	optimal estimation	4
inverse problems	seismic inversion	4
inverse problems	tikhonov regularization	4
inverse problems	compressed sensing	4
inverse problems	problem of induction	4
regularization (mathematics)	bayesian interpretation of regularization	4
regularization (mathematics)	bias–variance tradeoff	4
regularization (mathematics)	matrix regularization	4
regularization (mathematics)	regularization by spectral filtering	4
regularization (mathematics)	regularized least squares	4
regularization (mathematics)	lagrange multiplier	4
regularization (mathematics)	variance reduction	4
lasso (statistics)	least absolute deviations	4
lasso (statistics)	model selection	4
lasso (statistics)	nonparametric regression	4
lasso (statistics)	tikhonov regularization	4
k-svd	sparse approximation	4
k-svd	singular value decomposition	4
k-svd	matrix norm	4
k-svd	k-means clustering	4
k-svd	low-rank approximation	4
raptor codes	erasure code	4
raptor codes	fountain codes	4
raptor codes	lt code	4
raptor codes	tornado codes	4
lt codes	online codes	4
lt codes	raptor codes	4
lt codes	tornado codes	4
fountain codes	online codes	4
fountain codes	linear network coding	4
fountain codes	secret sharing	4
fountain codes	tornado codes	4
3gpp	universal mobile telecommunications system	4
3gpp	3gpp long term evolution	4
3gpp	evolution to 3g	4
3gpp	ip multimedia subsystem	4
3gpp	3gp	4
3gpp	3gpp2	4
3gpp	cdma2000	4
3gpp	gsm services	4
3gpp	lora	4
3gpp	telecoms & internet converged services & protocols for advanced networks	4
3gpp	open mobile alliance	4
3gpp	service data adaptation protocol	4
3gpp	service layer	4
3gpp	etsi	4
docsis	packetcable	4
docsis	docsis set-top gateway	4
docsis	ethernet over coax	4
docsis	multimedia over coax alliance	4
docsis	node (networking)	4
docsis	telecommunications cable	4
atsc 3.0	atsc tuner	4
atsc 3.0	high efficiency video coding	4
wi-fi	gi-fi	4
wi-fi	hiperlan	4
wi-fi	high-speed multimedia radio	4
wi-fi	indoor positioning system	4
wi-fi	li-fi	4
wi-fi	operating system wi-fi support	4
wi-fi	passive wi-fi	4
wi-fi	power-line communication	4
wi-fi	san francisco digital inclusion strategy	4
wi-fi	wlan authentication and privacy infrastructure	4
wi-fi	wigig	4
wi-fi	wireless broadband alliance	4
wi-fi	wi-fi direct	4
ieee 802.11n-2009	spectral efficiency comparison table	4
ieee 802.11n-2009	wimax mimo	4
wimax	cognitive radio	4
wimax	evolved hspa	4
wimax	high-speed packet access	4
wimax	mobile broadband	4
wimax	mobile voip	4
wimax	municipal broadband	4
wimax	packet burst broadband	4
wimax	super wi-fi	4
wimax	switched mesh	4
wimax	wibro	4
wimax	wireless bridge	4
wimax	wireless local loop	4
ieee	certified software development professional	4
ieee	glossary of electrical and electronics engineering	4
ieee	engineering and technology history wiki	4
ieee	eta kappa nu	4
ieee	ieee standards association	4
ieee	institution of engineering and technology	4
ieee	international electrotechnical commission	4
dmb-t/h	cmmb	4
dmb-t/h	ofdm	4
dmb-t/h	media of china	4
dmb-t/h	telecommunications in china	4
dmb-t/h	telecommunications industry in china	4
dmb-t/h	digital television in china (prc)	4
dmb-t/h	technical standards in hong kong	4
dmb-t/h	digital terrestrial television	4
dmb-t/h	atsc standards	4
dmb-t/h	dvb-t	4
dmb-t/h	isdb-t international	4
dvb-c2	atsc standards	4
dvb-c2	digital cable	4
dvb-c2	digital video broadcasting	4
dvb-c2	digital multimedia broadcasting	4
dvb-c2	digital television	4
dvb-c2	common interface	4
dvb-c2	digicipher 2	4
dvb-c2	qam (television)	4
dvb-t2	ofdm system comparison table	4
dvb-t2	spectral efficiency comparison table	4
cmmb	dtmb	4
cmmb	digital multimedia broadcasting	4
cmmb	digital video broadcasting	4
cmmb	dvb-t	4
cmmb	dvb-h	4
cmmb	international standard	4
g.hn	ieee 1901	4
g.hn	hd-plc	4
expander code	expander graph	4
expander code	low-density parity-check code	4
802.3an	10g	4
802.3an	gg45	4
802.3an	optical communication	4
802.3an	optical fiber cable	4
802.3an	parallel optical interface	4
802.3an	tera	4
802.3an	xaui	4
hamming code	coding theory	4
hamming code	hamming bound	4
hamming code	hamming distance	4
hamming code	low-density parity-check code	4
hamming code	reed–muller code	4
hamming code	reed–solomon error correction	4
hamming code	turbo code	4
graph theory	gallery of named graphs	4
graph theory	glossary of graph theory	4
graph theory	graph algorithm	4
graph theory	algebraic graph theory	4
graph theory	geometric graph theory	4
graph theory	extremal graph theory	4
graph theory	random graph	4
graph theory	topological graph theory	4
graph theory	graph drawing	4
irving s. reed	computer research corporation (crc)	4
irving s. reed	reed–muller expansion	4
claude shannon	wp:seealso	4
claude shannon	entropy power inequality	4
claude shannon	error-correcting codes with feedback	4
claude shannon	models of communication	4
claude shannon	n-gram	4
claude shannon	noisy channel coding theorem	4
claude shannon	nyquist–shannon sampling theorem	4
claude shannon	one-time pad	4
claude shannon	product cipher	4
claude shannon	pulse-code modulation	4
claude shannon	rate distortion theory	4
claude shannon	sampling (signal processing)	4
claude shannon	shannon entropy	4
claude shannon	shannon index	4
claude shannon	shannon multigraph	4
claude shannon	shannon security	4
claude shannon	shannon switching game	4
claude shannon	shannon–fano coding	4
claude shannon	shannon–hartley law	4
claude shannon	shannon–hartley theorem	4
claude shannon	shannon's expansion	4
claude shannon	shannon's source coding theorem	4
claude shannon	shannon–weaver model	4
claude shannon	whittaker–shannon interpolation formula	4
comparison of cognitive architectures	comparison of deep-learning software	3
comparison of statistical packages	comparison of computer algebra systems	3
comparison of statistical packages	comparison of deep learning software	3
comparison of statistical packages	comparison of numerical-analysis software	3
comparison of statistical packages	comparison of survey software	3
comparison of statistical packages	comparison of gaussian process software	3
comparison of numerical-analysis software	comparison of computer algebra systems	3
comparison of numerical-analysis software	comparison of deep-learning software	3
comparison of numerical-analysis software	comparison of statistical packages	3
collective intelligence	citizen science	3
collective intelligence	civic intelligence	3
collective intelligence	collaborative filtering	3
collective intelligence	collaborative innovation network	3
collective intelligence	collective decision-making	3
collective intelligence	collective effervescence	3
collective intelligence	collective memory	3
collective intelligence	collective problem solving	3
collective intelligence	crowd psychology	3
collective intelligence	global consciousness project	3
collective intelligence	group behaviour	3
collective intelligence	group mind (science fiction)	3
collective intelligence	knowledge ecosystem	3
collective intelligence	:fr:noogenèse	3
collective intelligence	open-source intelligence	3
collective intelligence	recommendation system	3
collective intelligence	smart mob	3
collective intelligence	social commerce	3
collective intelligence	social epistemology	3
collective intelligence	social information processing	3
collective intelligence	stigmergy	3
collective intelligence	raymond cattell	3
collective intelligence	wisdom of the crowd	3
collective intelligence	think tank	3
collective intelligence	wiki	3
collective intelligence	bees algorithm	3
collective intelligence	cellular automaton	3
collective intelligence	collaborative human interpreter	3
collective intelligence	collaborative software	3
collective intelligence	connectivity (graph theory)	3
collective intelligence	enterprise bookmarking	3
collective intelligence	human-based computation	3
collective intelligence	open-source software	3
collective intelligence	organismic computing	3
collective intelligence	preference elicitation	3
collective intelligence	customer engagement	3
collective intelligence	dispersed knowledge	3
collective intelligence	distributed cognition	3
collective intelligence	facilitation (business)	3
collective intelligence	facilitator	3
collective intelligence	group cognition	3
collective intelligence	hundredth monkey effect	3
collective intelligence	intersubjectivity	3
collective intelligence	keeping up with the joneses	3
collective intelligence	library	3
collective intelligence	library of alexandria	3
collective intelligence	meme	3
collective intelligence	open-space meeting	3
collective intelligence	shared intentionality	3
collective intelligence	situated cognition	3
progress in artificial intelligence	applications of artificial intelligence	3
comparison of deep-learning software	comparison of numerical-analysis software	4
comparison of deep-learning software	comparison of statistical packages	4
comparison of deep-learning software	comparison of cognitive architectures	4
open data	open knowledge	3
open data	free content	3
open data	openness	3
open data	comprehensive knowledge archive network	3
open data	creative commons license	3
open data	data curation	3
open data	data governance	3
open data	data management	3
open data	data publishing	3
open data	data sharing	3
open data	demand-responsive transport	3
open data	digital preservation	3
open data	fair data	3
open data	international open data day	3
open data	linked data	3
open data	open energy system databases	3
open data	urban informatics	3
open data	wikibase	3
open data	wikidata	3
open data	open standard	3
open data	digital public goods	3
situated cognition	action-specific perception	4
situated cognition	activity theory	4
situated cognition	cognitive biology	4
situated cognition	cognitive psychology	4
situated cognition	computer-supported collaborative learning	4
situated cognition	cultural-historical activity theory	4
situated cognition	distributed cognition	4
situated cognition	cognitive model	4
situated cognition	embodied cognition	4
situated cognition	extended cognition	4
situated cognition	enactivism	4
situated cognition	group cognition	4
situated cognition	pragmatism	4
situated cognition	situational awareness	4
open-space meeting	art of hosting	4
open-space meeting	birds of a feather (computing)	4
shared intentionality	binding problem	4
shared intentionality	categorization	4
shared intentionality	child development	4
shared intentionality	cognition	4
shared intentionality	cognitive development	4
shared intentionality	collective behavior	4
shared intentionality	collective intentionality	4
shared intentionality	infant cognitive development	4
shared intentionality	multisensory integration	4
shared intentionality	perception	4
shared intentionality	social cognition	4
shared intentionality	extended mind thesis	4
digital public goods	digital public infrastructure	4
digital public goods	global commons	4
digital public goods	global public good	4
digital public goods	public infrastructure	4
digital public goods	open-source appropriate technology	4
digital public goods	open source	4
digital public goods	open data	4
digital public goods	ethics of technology	4
digital public goods	sustainable development	4
digital public goods	open-design movement	4
digital public goods	applied sustainability	4
digital public goods	technogaianism	4
open standard	conformity assessment	4
open standard	open format	4
open standard	open-source software	4
open standard	free standard	4
open standard	network effect	4
open standard	open data	4
open standard	open-design movement	4
open standard	open-source hardware	4
open standard	open specifications	4
open standard	open system (computing)	4
open standard	specification (technical standard)	4
open standard	vendor lock-in	4
open standard	digital public goods	4
wikidata	wp:seealso	4
wikidata	abstract wikipedia	4
wikidata	babelnet	4
wikidata	dbpedia	4
wikidata	semantic mediawiki	4
wikidata	wikibase	4
wikidata	wikimedia enterprise	4
wikibase	linked data	4
wikibase	wikidata	4
wikibase	knowledge graph	4
wikibase	document-oriented database	4
wikibase	entity–attribute–value model	4
wikibase	attribute (computing)	4
wikibase	property (programming)	4
wikibase	semantic wiki	4
wikibase	semantic mediawiki	4
wikibase	triplestore	4
wikibase	semantic web	4
urban informatics	communicative ecology	4
urban informatics	community informatics	4
urban informatics	e-government	4
urban informatics	geoinformatics	4
urban informatics	human–computer interaction	4
urban informatics	interaction design	4
urban informatics	location-based service	4
urban informatics	locative media	4
urban informatics	placemaking	4
urban informatics	ubiquitous computing	4
urban informatics	urban computing	4
open energy system databases	comprehensive knowledge archive network	4
open energy system databases	climate change mitigation scenarios	4
open energy system databases	crowdsourcing	4
open energy system databases	energy modeling	4
open energy system databases	energy system	4
open energy system databases	open energy modelling initiative	4
open energy system databases	open energy system models	4
open energy system databases	open source software	4
open energy system databases	open knowledge foundation	4
linked data	american art collaborative	4
linked data	authority control	4
linked data	citation analysis	4
linked data	data.gov.uk	4
linked data	hyperdata	4
linked data	network model	4
linked data	schema.org	4
linked data	void	4
linked data	web ontology language	4
international open data day	open access week	4
fair data	data management	4
fair data	open access	4
fair data	open data	4
fair data	open license	4
fair data	open science	4
fair data	remix culture	4
digital preservation	5d optical data storage	4
digital preservation	backup	4
digital preservation	charles m. dollar	4
digital preservation	data curation	4
digital preservation	data preservation	4
digital preservation	database preservation	4
digital preservation	digital artifactual value	4
digital preservation	digital asset management	4
digital preservation	digital curation	4
digital preservation	digital continuity	4
digital preservation	digital dark age	4
digital preservation	digital library	4
digital preservation	digital obsolescence	4
digital preservation	digital reformatting	4
digital preservation	digitization	4
digital preservation	drambora	4
digital preservation	enterprise content management	4
digital preservation	enumerate (project)	4
digital preservation	file format	4
digital preservation	hd-rosetta	4
digital preservation	information lifecycle management	4
digital preservation	new media art preservation	4
digital preservation	margaret hedstrom	4
digital preservation	preservation metadata	4
digital preservation	section 108 study group	4
digital preservation	seamus ross	4
digital preservation	slow fire	4
digital preservation	trustworthy repositories audit & certification	4
digital preservation	uvc-based preservation	4
digital preservation	web archiving	4
digital preservation	w.o.r.f. (write once read forever)	4
demand-responsive transport	hail and ride	4
demand-responsive transport	intermediate public transport	4
demand-responsive transport	microtransit	4
demand-responsive transport	open data	4
demand-responsive transport	paratransit	4
demand-responsive transport	share taxi	4
demand-responsive transport	route assignment	4
demand-responsive transport	wardrop equilibrium	4
data sharing	data archive	4
data sharing	data dissemination	4
data sharing	data privacy	4
data sharing	data publishing	4
data sharing	data citation	4
data sharing	fair data	4
data sharing	file sharing	4
data sharing	information sharing	4
data sharing	knowledge sharing	4
data sharing	open data	4
data sharing	registry of research data repositories	4
data publishing	data archiving	4
data publishing	disciplinary repository	4
data publishing	open science data	4
data publishing	registry of research data repositories	4
data management	open data	4
data management	data curation	4
data management	data retention	4
data governance	asset description metadata schema	4
data governance	basel ii	4
data governance	business semantics management	4
data governance	cobit	4
data governance	corporate governance of information technology	4
data governance	data protection directive	4
data governance	data sovereignty	4
data governance	health insurance portability and accountability act	4
data governance	information architecture	4
data governance	information governance	4
data governance	information technology controls	4
data governance	iso/iec 38500	4
data governance	iso/tc 215	4
data governance	master data management	4
data governance	operational risk management	4
data governance	sarbanes–oxley act	4
data governance	semantics of business vocabulary and business rules	4
data governance	simulation governance	4
data governance	universal data element framework	4
creative commons license	closed captioning	4
creative commons license	free-culture movement	4
creative commons license	free music	4
creative commons license	free software	4
